id,uri,label,definition,synonyms,parent,attributes,enfants,individus,rich_text
GreyWolf,http://example.org/animal-taxonomy-B/GreyWolf,Grey Wolf,Large wild canid living in hierarchical packs,Wolf;Canis lupus;Timber Wolf,Canid Group|http://example.org/animal-taxonomy-B/CanidGroup,"species: Canis lupus, environment: wilderness, behavior: pack_hunter",,Shadow (Alpha wolf in Canadian pack),Grey Wolf. Large wild canid living in hierarchical packs
DomesticDog,http://example.org/animal-taxonomy-B/DomesticDog,Domestic Dog,"Tamed canine descended from wolves, human companion",Dog;Canis familiaris;Pet Dog,Canid Group|http://example.org/animal-taxonomy-B/CanidGroup,"species: Canis familiaris, environment: domestic, domestication: yes",,Max (Labrador Retriever companion dog),"Domestic Dog. Tamed canine descended from wolves, human companion"
RedFox,http://example.org/animal-taxonomy-B/RedFox,Red Fox,Small omnivorous canid with characteristic bushy tail,Fox;Vulpes vulpes;Common Fox,Canid Group|http://example.org/animal-taxonomy-B/CanidGroup,"species: Vulpes vulpes, environment: adaptable, feeding: omnivorous",,,Red Fox. Small omnivorous canid with characteristic bushy tail
BearFamily,http://example.org/animal-taxonomy-B/BearFamily,Bear Family,Large carnivorous or omnivorous mammals with heavy build,Ursidae;Bears;Ursine,Carnivorous Mammal|http://example.org/animal-taxonomy-B/CarnivorousMammal,family: Ursidae,Grizzly Bear|http://example.org/animal-taxonomy-B/GrizzlyBear;Arctic Bear|http://example.org/animal-taxonomy-B/ArcticBear,,Bear Family. Large carnivorous or omnivorous mammals with heavy build
GrizzlyBear,http://example.org/animal-taxonomy-B/GrizzlyBear,Grizzly Bear,Large brown bear inhabiting North America and Eurasia,Brown Bear;Ursus arctos;Kodiak,Bear Family|http://example.org/animal-taxonomy-B/BearFamily,"species: Ursus arctos, environment: temperate_forest, mass: large",,,Grizzly Bear. Large brown bear inhabiting North America and Eurasia
ArcticBear,http://example.org/animal-taxonomy-B/ArcticBear,Arctic Bear,Large white-furred bear adapted to polar environment,Polar Bear;Ursus maritimus;White Bear,Bear Family|http://example.org/animal-taxonomy-B/BearFamily,"species: Ursus maritimus, environment: polar, status: vulnerable",,,Arctic Bear. Large white-furred bear adapted to polar environment
PrimateOrder,http://example.org/animal-taxonomy-B/PrimateOrder,Primate Order,"Mammals including apes, monkeys, lemurs, and humans",Primate;Primates;Simians,Mammalian|http://example.org/animal-taxonomy-B/Mammalian,order: Primates,Great Ape|http://example.org/animal-taxonomy-B/GreatApe;Tailed Monkey|http://example.org/animal-taxonomy-B/TailedMonkey,,"Primate Order. Mammals including apes, monkeys, lemurs, and humans"
GreatApe,http://example.org/animal-taxonomy-B/GreatApe,Great Ape,Large tailless primates with advanced cognitive abilities,Ape;Hominoid;Large Primate,Primate Order|http://example.org/animal-taxonomy-B/PrimateOrder,"superfamily: Hominoidea, tail_present: no",Mountain Gorilla|http://example.org/animal-taxonomy-B/MountainGorilla;Common Chimpanzee|http://example.org/animal-taxonomy-B/CommonChimpanzee;Bornean Orangutan|http://example.org/animal-taxonomy-B/BorneanOrangutan,,Great Ape. Large tailless primates with advanced cognitive abilities
MountainGorilla,http://example.org/animal-taxonomy-B/MountainGorilla,Mountain Gorilla,Largest primate species inhabiting African mountain forests,Gorilla;Gorilla beringei;Silverback Gorilla,Great Ape|http://example.org/animal-taxonomy-B/GreatApe,"species: Gorilla beringei, environment: mountain_forest, status: endangered",,Digit (Mountain gorilla in conservation project),Mountain Gorilla. Largest primate species inhabiting African mountain forests
CommonChimpanzee,http://example.org/animal-taxonomy-B/CommonChimpanzee,Common Chimpanzee,Highly intelligent ape closely related to humans,Chimpanzee;Pan troglodytes;Chimp,Great Ape|http://example.org/animal-taxonomy-B/GreatApe,"species: Pan troglodytes, environment: tropical_forest, cognition: advanced",,,Common Chimpanzee. Highly intelligent ape closely related to humans
BorneanOrangutan,http://example.org/animal-taxonomy-B/BorneanOrangutan,Bornean Orangutan,Large reddish arboreal ape from Southeast Asia,Orangutan;Pongo pygmaeus;Forest Man,Great Ape|http://example.org/animal-taxonomy-B/GreatApe,"species: Pongo pygmaeus, environment: tropical_rainforest, status: critically_endangered",,,Bornean Orangutan. Large reddish arboreal ape from Southeast Asia
TailedMonkey,http://example.org/animal-taxonomy-B/TailedMonkey,Tailed Monkey,Smaller primates characterized by presence of tail,Monkey;Simian;Old World Monkey,Primate Order|http://example.org/animal-taxonomy-B/PrimateOrder,tail_present: yes,,,Tailed Monkey. Smaller primates characterized by presence of tail
RodentOrder,http://example.org/animal-taxonomy-B/RodentOrder,Rodent Order,Small mammal with chisel-like incisors that grow continuously,Rodent;Rodentia;Gnawer,Mammalian|http://example.org/animal-taxonomy-B/Mammalian,"order: Rodentia, dentition: ever_growing_incisors",Small Mouse|http://example.org/animal-taxonomy-B/SmallMouse;Large Rat|http://example.org/animal-taxonomy-B/LargeRat;Tree Squirrel|http://example.org/animal-taxonomy-B/TreeSquirrel,,Rodent Order. Small mammal with chisel-like incisors that grow continuously
SmallMouse,http://example.org/animal-taxonomy-B/SmallMouse,Small Mouse,Tiny rodent with pointed nose and long slender tail,Mouse;Mus musculus;Common Mouse,Rodent Order|http://example.org/animal-taxonomy-B/RodentOrder,"species: Mus musculus, body_size: tiny",,,Small Mouse. Tiny rodent with pointed nose and long slender tail
LargeRat,http://example.org/animal-taxonomy-B/LargeRat,Large Rat,Medium-sized rodent with robust body and scaly tail,Rat;Rattus norvegicus;Sewer Rat,Rodent Order|http://example.org/animal-taxonomy-B/RodentOrder,"species: Rattus norvegicus, body_size: moderate",,,Large Rat. Medium-sized rodent with robust body and scaly tail
TreeSquirrel,http://example.org/animal-taxonomy-B/TreeSquirrel,Tree Squirrel,Bushy-tailed arboreal rodent with climbing abilities,Squirrel;Sciurus vulgaris;Red Squirrel,Rodent Order|http://example.org/animal-taxonomy-B/RodentOrder,"family: Sciuridae, lifestyle: arboreal",,,Tree Squirrel. Bushy-tailed arboreal rodent with climbing abilities
MarineMammal,http://example.org/animal-taxonomy-B/MarineMammal,Marine Mammal,Aquatic or semi-aquatic mammals including whales and dolphins,Cetacean;Cetacea;Sea Mammal,Mammalian|http://example.org/animal-taxonomy-B/Mammalian,"order: Cetacea, environment: aquatic",Bottlenose Dolphin|http://example.org/animal-taxonomy-B/BottlenoseDolphin;Giant Whale|http://example.org/animal-taxonomy-B/GiantWhale,,Marine Mammal. Aquatic or semi-aquatic mammals including whales and dolphins
BottlenoseDolphin,http://example.org/animal-taxonomy-B/BottlenoseDolphin,Bottlenose Dolphin,Smart marine mammal with distinctive bottle-shaped snout,Dolphin;Tursiops;Common Dolphin,Marine Mammal|http://example.org/animal-taxonomy-B/MarineMammal,"genus: Tursiops, cognition: advanced, sonar: present",,Echo (Bottlenose dolphin in aquarium),Bottlenose Dolphin. Smart marine mammal with distinctive bottle-shaped snout
GiantWhale,http://example.org/animal-taxonomy-B/GiantWhale,Giant Whale,"Enormous marine mammal, largest animals on Earth",Whale;Cetacean;Baleen Whale,Marine Mammal|http://example.org/animal-taxonomy-B/MarineMammal,"body_size: enormous, environment: pelagic",,,"Giant Whale. Enormous marine mammal, largest animals on Earth"
AvianClass,http://example.org/animal-taxonomy-B/AvianClass,Avian Class,"Warm-blooded vertebrates with feathers, beaks, and wings",Bird;Aves;Flying Vertebrate,Animal Organism|http://example.org/animal-taxonomy-B/AnimalOrganism,"class: Aves, covering: feathers, egg_laying: yes",Bird of Prey|http://example.org/animal-taxonomy-B/BirdOfPrey;Aquatic Bird|http://example.org/animal-taxonomy-B/AquaticBird;Flightless Penguin|http://example.org/animal-taxonomy-B/FlightlessPenguin;Talking Parrot|http://example.org/animal-taxonomy-B/TalkingParrot,,"Avian Class. Warm-blooded vertebrates with feathers, beaks, and wings"
BirdOfPrey,http://example.org/animal-taxonomy-B/BirdOfPrey,Bird of Prey,Predatory bird with sharp talons and hooked beak,Raptor;Predatory Avian;Hunter Bird,Avian Class|http://example.org/animal-taxonomy-B/AvianClass,"feeding: carnivorous, eyesight: exceptional",Majestic Eagle|http://example.org/animal-taxonomy-B/MajesticEagle;Hunting Hawk|http://example.org/animal-taxonomy-B/HuntingHawk;Night Owl|http://example.org/animal-taxonomy-B/NightOwl,,Bird of Prey. Predatory bird with sharp talons and hooked beak
MajesticEagle,http://example.org/animal-taxonomy-B/MajesticEagle,Majestic Eagle,Large raptor with powerful build and impressive wingspan,Eagle;Aquila chrysaetos;Golden Eagle,Bird of Prey|http://example.org/animal-taxonomy-B/BirdOfPrey,"species: Aquila chrysaetos, wing_span: extensive, environment: alpine",,Freedom (Bald eagle in Alaskan territory),Majestic Eagle. Large raptor with powerful build and impressive wingspan
HuntingHawk,http://example.org/animal-taxonomy-B/HuntingHawk,Hunting Hawk,Medium raptor with broad wings for soaring,Hawk;Buteo;Buzzard,Bird of Prey|http://example.org/animal-taxonomy-B/BirdOfPrey,"family: Accipitridae, body_size: moderate",,,Hunting Hawk. Medium raptor with broad wings for soaring
NightOwl,http://example.org/animal-taxonomy-B/NightOwl,Night Owl,Nocturnal raptor with forward-facing eyes and silent flight,Owl;Strix;Barn Owl,Bird of Prey|http://example.org/animal-taxonomy-B/BirdOfPrey,"order: Strigiformes, hunting_time: night, audition: exceptional",,,Night Owl. Nocturnal raptor with forward-facing eyes and silent flight
AquaticBird,http://example.org/animal-taxonomy-B/AquaticBird,Aquatic Bird,Bird species living in or near water environments,Waterfowl;Water Bird;Swimming Bird,Avian Class|http://example.org/animal-taxonomy-B/AvianClass,environment: water,Wild Duck|http://example.org/animal-taxonomy-B/WildDuck;Graceful Swan|http://example.org/animal-taxonomy-B/GracefulSwan;Migratory Goose|http://example.org/animal-taxonomy-B/MigratoryGoose,,Aquatic Bird. Bird species living in or near water environments
WildDuck,http://example.org/animal-taxonomy-B/WildDuck,Wild Duck,Waterfowl with webbed feet and waterproof plumage,Duck;Anas platyrhynchos;Mallard Duck,Aquatic Bird|http://example.org/animal-taxonomy-B/AquaticBird,"family: Anatidae, foot_structure: webbed",,,Wild Duck. Waterfowl with webbed feet and waterproof plumage
GracefulSwan,http://example.org/animal-taxonomy-B/GracefulSwan,Graceful Swan,Large waterfowl known for elegant long neck,Swan;Cygnus olor;Whooper Swan,Aquatic Bird|http://example.org/animal-taxonomy-B/AquaticBird,"genus: Cygnus, body_size: large, neck_length: extended",,,Graceful Swan. Large waterfowl known for elegant long neck
MigratoryGoose,http://example.org/animal-taxonomy-B/MigratoryGoose,Migratory Goose,Large waterfowl known for seasonal migration patterns,Goose;Branta;Wild Goose,Aquatic Bird|http://example.org/animal-taxonomy-B/AquaticBird,"genus: Branta, body_size: large",,,Migratory Goose. Large waterfowl known for seasonal migration patterns
FlightlessPenguin,http://example.org/animal-taxonomy-B/FlightlessPenguin,Flightless Penguin,Aquatic bird adapted for swimming in cold waters,Penguin;Spheniscidae;Antarctic Bird,Avian Class|http://example.org/animal-taxonomy-B/AvianClass,"family: Spheniscidae, flying_ability: none, environment: polar",,,Flightless Penguin. Aquatic bird adapted for swimming in cold waters
TalkingParrot,http://example.org/animal-taxonomy-B/TalkingParrot,Talking Parrot,Colorful bird capable of vocal mimicry,Parrot;Psittacus;Ara,Avian Class|http://example.org/animal-taxonomy-B/AvianClass,"order: Psittaciformes, cognition: advanced, vocal_ability: imitation",,,Talking Parrot. Colorful bird capable of vocal mimicry
ReptilianClass,http://example.org/animal-taxonomy-B/ReptilianClass,Reptilian Class,Cold-blooded vertebrate covered with scales or plates,Reptile;Reptilia;Scaled Vertebrate,Animal Organism|http://example.org/animal-taxonomy-B/AnimalOrganism,"class: Reptilia, thermoregulation: ectothermic, skin: scaly",Serpent|http://example.org/animal-taxonomy-B/Serpent;Scaled Lizard|http://example.org/animal-taxonomy-B/ScaledLizard;Shelled Reptile|http://example.org/animal-taxonomy-B/ShelledReptile;Large Crocodile|http://example.org/animal-taxonomy-B/LargeCrocodile,,Reptilian Class. Cold-blooded vertebrate covered with scales or plates
Serpent,http://example.org/animal-taxonomy-B/Serpent,Serpent,Limbless elongated reptile with flexible body,Snake;Serpentes;Ophidia,Reptilian Class|http://example.org/animal-taxonomy-B/ReptilianClass,"order: Serpentes, legs: none, movement: slithering",Constrictor Snake|http://example.org/animal-taxonomy-B/ConstrictorSnake;Hooded Snake|http://example.org/animal-taxonomy-B/HoodedSnake,,Serpent. Limbless elongated reptile with flexible body
ConstrictorSnake,http://example.org/animal-taxonomy-B/ConstrictorSnake,Constrictor Snake,Large non-venomous snake that kills by constriction,Python;Pythonidae;Boa,Serpent|http://example.org/animal-taxonomy-B/Serpent,"family: Pythonidae, killing_method: constriction",,,Constrictor Snake. Large non-venomous snake that kills by constriction
HoodedSnake,http://example.org/animal-taxonomy-B/HoodedSnake,Hooded Snake,Venomous snake capable of expanding neck hood,Cobra;Naja naja;King Cobra,Serpent|http://example.org/animal-taxonomy-B/Serpent,"genus: Naja, toxin: present, threat_display: hood_expansion",,,Hooded Snake. Venomous snake capable of expanding neck hood
ScaledLizard,http://example.org/animal-taxonomy-B/ScaledLizard,Scaled Lizard,Four-limbed reptile with movable eyelids,Lizard;Lacertilia;Lacerta,Reptilian Class|http://example.org/animal-taxonomy-B/ReptilianClass,"suborder: Lacertilia, legs: four",Green Iguana|http://example.org/animal-taxonomy-B/GreenIguana;Color-Changing Lizard|http://example.org/animal-taxonomy-B/ColorChangingLizard,,Scaled Lizard. Four-limbed reptile with movable eyelids
GreenIguana,http://example.org/animal-taxonomy-B/GreenIguana,Green Iguana,Large plant-eating lizard from tropical regions,Iguana;Iguana iguana;Common Iguana,Scaled Lizard|http://example.org/animal-taxonomy-B/ScaledLizard,"family: Iguanidae, feeding: herbivorous, climate: tropical",,,Green Iguana. Large plant-eating lizard from tropical regions
ColorChangingLizard,http://example.org/animal-taxonomy-B/ColorChangingLizard,Color-Changing Lizard,Lizard with color-changing skin and rotating eyes,Chameleon;Chamaeleo;Tree Lizard,Scaled Lizard|http://example.org/animal-taxonomy-B/ScaledLizard,"family: Chamaeleonidae, camouflage: active, vision: independent_eyes",,,Color-Changing Lizard. Lizard with color-changing skin and rotating eyes
ShelledReptile,http://example.org/animal-taxonomy-B/ShelledReptile,Shelled Reptile,Reptile protected by hard bony carapace,Turtle;Testudines;Chelonian,Reptilian Class|http://example.org/animal-taxonomy-B/ReptilianClass,"order: Testudines, protective_shell: yes",Ocean Turtle|http://example.org/animal-taxonomy-B/OceanTurtle,,Shelled Reptile. Reptile protected by hard bony carapace
OceanTurtle,http://example.org/animal-taxonomy-B/OceanTurtle,Ocean Turtle,Marine reptile with paddle-like flippers,Sea Turtle;Chelonioidea;Marine Turtle,Shelled Reptile|http://example.org/animal-taxonomy-B/ShelledReptile,"superfamily: Chelonioidea, environment: oceanic, appendages: paddle_flippers",,,Ocean Turtle. Marine reptile with paddle-like flippers
LargeCrocodile,http://example.org/animal-taxonomy-B/LargeCrocodile,Large Crocodile,Massive semi-aquatic reptile with powerful bite,Crocodile;Crocodylus;Croc,Reptilian Class|http://example.org/animal-taxonomy-B/ReptilianClass,"genus: Crocodylus, lifestyle: semi_aquatic, body_size: massive",,,Large Crocodile. Massive semi-aquatic reptile with powerful bite
AquaticVertebrate,http://example.org/animal-taxonomy-B/AquaticVertebrate,Aquatic Vertebrate,Water-dwelling vertebrate with gills and fins for swimming,Fish;Pisces;Finned Animal,Animal Organism|http://example.org/animal-taxonomy-B/AnimalOrganism,"environment: water, breathing: gills, movement: fins",Predatory Shark|http://example.org/animal-taxonomy-B/PredatoryShark;Flat Ray|http://example.org/animal-taxonomy-B/FlatRay;Migrating Salmon|http://example.org/animal-taxonomy-B/MigratingSalmon;Swift Tuna|http://example.org/animal-taxonomy-B/SwiftTuna,,Aquatic Vertebrate. Water-dwelling vertebrate with gills and fins for swimming
PredatoryShark,http://example.org/animal-taxonomy-B/PredatoryShark,Predatory Shark,Cartilaginous fish with multiple rows of teeth,Shark;Selachimorpha;Apex Predator,Aquatic Vertebrate|http://example.org/animal-taxonomy-B/AquaticVertebrate,"superorder: Selachimorpha, skeleton_type: cartilage, dentition: replaceable_teeth",,,Predatory Shark. Cartilaginous fish with multiple rows of teeth
FlatRay,http://example.org/animal-taxonomy-B/FlatRay,Flat Ray,Cartilaginous fish with dorsoventrally flattened body,Ray;Batoidea;Skate,Aquatic Vertebrate|http://example.org/animal-taxonomy-B/AquaticVertebrate,"superorder: Batoidea, morphology: dorsoventrally_flat",,,Flat Ray. Cartilaginous fish with dorsoventrally flattened body
MigratingSalmon,http://example.org/animal-taxonomy-B/MigratingSalmon,Migrating Salmon,Anadromous fish that returns to freshwater to reproduce,Salmon;Salmo salar;Atlantic Salmon,Aquatic Vertebrate|http://example.org/animal-taxonomy-B/AquaticVertebrate,"species: Salmo salar, life_cycle: anadromous, spawning: freshwater",,,Migrating Salmon. Anadromous fish that returns to freshwater to reproduce
SwiftTuna,http://example.org/animal-taxonomy-B/SwiftTuna,Swift Tuna,Large pelagic fish known for speed and endurance,Tuna;Thunnus;Bluefin,Aquatic Vertebrate|http://example.org/animal-taxonomy-B/AquaticVertebrate,"genus: Thunnus, velocity: rapid, zone: open_ocean",,,Swift Tuna. Large pelagic fish known for speed and endurance
AmphibiousAnimal,http://example.org/animal-taxonomy-B/AmphibiousAnimal,Amphibious Animal,Cold-blooded vertebrate living both in water and on land,Amphibian;Amphibia;Dual-habitat Animal,Animal Organism|http://example.org/animal-taxonomy-B/AnimalOrganism,"class: Amphibia, development: metamorphic, skin_type: moist",Leaping Frog|http://example.org/animal-taxonomy-B/LeapingFrog;Tailed Newt|http://example.org/animal-taxonomy-B/TailedNewt,,Amphibious Animal. Cold-blooded vertebrate living both in water and on land
LeapingFrog,http://example.org/animal-taxonomy-B/LeapingFrog,Leaping Frog,Tailless amphibian with powerful jumping legs,Frog;Anura;Ranidae,Amphibious Animal|http://example.org/animal-taxonomy-B/AmphibiousAnimal,"order: Anura, tail_adult: none, movement: leaping",,,Leaping Frog. Tailless amphibian with powerful jumping legs
TailedNewt,http://example.org/animal-taxonomy-B/TailedNewt,Tailed Newt,Amphibian with slender body and permanent tail,Salamander;Caudata;Newt,Amphibious Animal|http://example.org/animal-taxonomy-B/AmphibiousAnimal,"order: Caudata, tail_adult: present, form: elongate",,,Tailed Newt. Amphibian with slender body and permanent tail
Spineless,http://example.org/animal-taxonomy-B/Spineless,Spineless,Animal lacking vertebral column or internal skeleton,Invertebrate;Backboneless;Non-vertebrate,Animal Organism|http://example.org/animal-taxonomy-B/AnimalOrganism,backbone: none,Six-Legged Arthropod|http://example.org/animal-taxonomy-B/SixLeggedArthropod;Eight-Legged Arthropod|http://example.org/animal-taxonomy-B/EightLeggedArthropod;Soft-Body Mollusk|http://example.org/animal-taxonomy-B/SoftBodyMollusk,,Spineless. Animal lacking vertebral column or internal skeleton
SixLeggedArthropod,http://example.org/animal-taxonomy-B/SixLeggedArthropod,Six-Legged Arthropod,Arthropod with segmented body and six legs,Insect;Insecta;Bug,Spineless|http://example.org/animal-taxonomy-B/Spineless,"class: Insecta, body_parts: three_segments, leg_count: six",Winged Butterfly|http://example.org/animal-taxonomy-B/WingedButterfly;Honey Bee|http://example.org/animal-taxonomy-B/HoneyBee;Colony Ant|http://example.org/animal-taxonomy-B/ColonyAnt;Hardwing Beetle|http://example.org/animal-taxonomy-B/HardwingBeetle,,Six-Legged Arthropod. Arthropod with segmented body and six legs
WingedButterfly,http://example.org/animal-taxonomy-B/WingedButterfly,Winged Butterfly,Flying insect with colorful patterned wings,Butterfly;Lepidoptera;Moth,Six-Legged Arthropod|http://example.org/animal-taxonomy-B/SixLeggedArthropod,"order: Lepidoptera, wing_covering: scales, metamorphosis: complete",,,Winged Butterfly. Flying insect with colorful patterned wings
HoneyBee,http://example.org/animal-taxonomy-B/HoneyBee,Honey Bee,Social flying insect that produces honey and pollinates,Bee;Apis mellifera;Worker Bee,Six-Legged Arthropod|http://example.org/animal-taxonomy-B/SixLeggedArthropod,"species: Apis mellifera, organization: eusocial, function: pollination",,,Honey Bee. Social flying insect that produces honey and pollinates
ColonyAnt,http://example.org/animal-taxonomy-B/ColonyAnt,Colony Ant,Eusocial insect living in structured colonies,Ant;Formicidae;Army Ant,Six-Legged Arthropod|http://example.org/animal-taxonomy-B/SixLeggedArthropod,"family: Formicidae, organization: colonial, structure: hierarchical",,,Colony Ant. Eusocial insect living in structured colonies
HardwingBeetle,http://example.org/animal-taxonomy-B/HardwingBeetle,Hardwing Beetle,Insect with hardened forewings protecting membranous hindwings,Beetle;Coleoptera;Bug,Six-Legged Arthropod|http://example.org/animal-taxonomy-B/SixLeggedArthropod,"order: Coleoptera, forewing: sclerotized",,,Hardwing Beetle. Insect with hardened forewings protecting membranous hindwings
EightLeggedArthropod,http://example.org/animal-taxonomy-B/EightLeggedArthropod,Eight-Legged Arthropod,Arthropod with four pairs of legs,Arachnid;Arachnida;Spider-like,Spineless|http://example.org/animal-taxonomy-B/Spineless,"class: Arachnida, leg_count: eight",Web Spider|http://example.org/animal-taxonomy-B/WebSpider;Stinging Scorpion|http://example.org/animal-taxonomy-B/StingingScorpion,,Eight-Legged Arthropod. Arthropod with four pairs of legs
WebSpider,http://example.org/animal-taxonomy-B/WebSpider,Web Spider,Arachnid producing silk webs for prey capture,Spider;Araneae;Araneus,Eight-Legged Arthropod|http://example.org/animal-taxonomy-B/EightLeggedArthropod,"order: Araneae, silk_production: yes, toxin: present",,,Web Spider. Arachnid producing silk webs for prey capture
StingingScorpion,http://example.org/animal-taxonomy-B/StingingScorpion,Stinging Scorpion,Arachnid with segmented tail bearing venomous sting,Scorpion;Scorpiones;Desert Scorpion,Eight-Legged Arthropod|http://example.org/animal-taxonomy-B/EightLeggedArthropod,"order: Scorpiones, appendage: venomous_telson, claws: yes",,,Stinging Scorpion. Arachnid with segmented tail bearing venomous sting
SoftBodyMollusk,http://example.org/animal-taxonomy-B/SoftBodyMollusk,Soft-Body Mollusk,"Invertebrate with soft unsegmented body, often with shell",Mollusk;Mollusca;Shellfish,Spineless|http://example.org/animal-taxonomy-B/Spineless,"phylum: Mollusca, body_texture: soft",Eight-Armed Octopus|http://example.org/animal-taxonomy-B/EightArmedOctopus;Ten-Armed Squid|http://example.org/animal-taxonomy-B/TenArmedSquid;Spiral Snail|http://example.org/animal-taxonomy-B/SpiralSnail,,"Soft-Body Mollusk. Invertebrate with soft unsegmented body, often with shell"
EightArmedOctopus,http://example.org/animal-taxonomy-B/EightArmedOctopus,Eight-Armed Octopus,Marine cephalopod with eight flexible tentacles,Octopus;Octopoda;Cuttlefish,Soft-Body Mollusk|http://example.org/animal-taxonomy-B/SoftBodyMollusk,"order: Octopoda, tentacles: eight, cognition: advanced",,,Eight-Armed Octopus. Marine cephalopod with eight flexible tentacles
