id,uri,label,definition,synonyms,parent,attributes,enfants,individus,rich_text
Fox,http://example.org/animal-ontology-A/Fox,Fox,Small to medium-sized omnivorous mammal with bushy tail,Vulpes;Red Fox;Kit Fox,Canidae|http://example.org/animal-ontology-A/Canidae,"genus: Vulpes, habitat: various, diet: omnivorous",,,Fox. Small to medium-sized omnivorous mammal with bushy tail
Ursidae,http://example.org/animal-ontology-A/Ursidae,Ursidae,Family of large carnivorous or omnivorous mammals known as bears,Bear Family;Bears,Carnivore|http://example.org/animal-ontology-A/Carnivore,family: Ursidae,Brown Bear|http://example.org/animal-ontology-A/BrownBear;Polar Bear|http://example.org/animal-ontology-A/PolarBear,,Ursidae. Family of large carnivorous or omnivorous mammals known as bears
BrownBear,http://example.org/animal-ontology-A/BrownBear,Brown Bear,Large bear species found across North America and Eurasia,Ursus arctos;Grizzly Bear;Kodiak Bear,Ursidae|http://example.org/animal-ontology-A/Ursidae,"species: Ursus arctos, habitat: forest, size: large",,,Brown Bear. Large bear species found across North America and Eurasia
PolarBear,http://example.org/animal-ontology-A/PolarBear,Polar Bear,Large white bear native to Arctic regions,Ursus maritimus;Ice Bear;Arctic Bear,Ursidae|http://example.org/animal-ontology-A/Ursidae,"species: Ursus maritimus, habitat: arctic, conservation_status: vulnerable",,,Polar Bear. Large white bear native to Arctic regions
Primate,http://example.org/animal-ontology-A/Primate,Primate,"Mammal of an order that includes monkeys, apes, and humans",Primates;Simian,Mammal|http://example.org/animal-ontology-A/Mammal,order: Primates,Ape|http://example.org/animal-ontology-A/Ape;Monkey|http://example.org/animal-ontology-A/Monkey,,"Primate. Mammal of an order that includes monkeys, apes, and humans"
Ape,http://example.org/animal-ontology-A/Ape,Ape,"Large tailless primate including gorillas, chimpanzees, and orangutans",Great Ape;Hominoidea,Primate|http://example.org/animal-ontology-A/Primate,"superfamily: Hominoidea, tail: absent",Gorilla|http://example.org/animal-ontology-A/Gorilla;Chimpanzee|http://example.org/animal-ontology-A/Chimpanzee;Orangutan|http://example.org/animal-ontology-A/Orangutan,,"Ape. Large tailless primate including gorillas, chimpanzees, and orangutans"
Gorilla,http://example.org/animal-ontology-A/Gorilla,Gorilla,Largest living primate native to African forests,Gorilla gorilla;Mountain Gorilla;Silverback,Ape|http://example.org/animal-ontology-A/Ape,"genus: Gorilla, habitat: forest, conservation_status: endangered",,Koko (Mountain gorilla in conservation program),Gorilla. Largest living primate native to African forests
Chimpanzee,http://example.org/animal-ontology-A/Chimpanzee,Chimpanzee,"Great ape species native to Africa, closely related to humans",Pan troglodytes;Common Chimp;Chimp,Ape|http://example.org/animal-ontology-A/Ape,"species: Pan troglodytes, habitat: forest, intelligence: high",,,"Chimpanzee. Great ape species native to Africa, closely related to humans"
Orangutan,http://example.org/animal-ontology-A/Orangutan,Orangutan,Large arboreal ape with reddish-brown hair native to Indonesia,Pongo;Red Ape;Man of the Forest,Ape|http://example.org/animal-ontology-A/Ape,"genus: Pongo, habitat: rainforest, conservation_status: critically_endangered",,,Orangutan. Large arboreal ape with reddish-brown hair native to Indonesia
Monkey,http://example.org/animal-ontology-A/Monkey,Monkey,"Primate with tails, generally smaller than apes",Simian;Cercopithecoidea,Primate|http://example.org/animal-ontology-A/Primate,tail: present,,,"Monkey. Primate with tails, generally smaller than apes"
Rodent,http://example.org/animal-ontology-A/Rodent,Rodent,Mammal characterized by continuously growing incisors,Rodentia;Gnawing Mammal,Mammal|http://example.org/animal-ontology-A/Mammal,"order: Rodentia, teeth: continuously_growing_incisors",Mouse|http://example.org/animal-ontology-A/Mouse;Rat|http://example.org/animal-ontology-A/Rat;Squirrel|http://example.org/animal-ontology-A/Squirrel,,Rodent. Mammal characterized by continuously growing incisors
Mouse,http://example.org/animal-ontology-A/Mouse,Mouse,Small rodent with pointed snout and long tail,Mus;House Mouse;Field Mouse,Rodent|http://example.org/animal-ontology-A/Rodent,"genus: Mus, size: small",,,Mouse. Small rodent with pointed snout and long tail
Rat,http://example.org/animal-ontology-A/Rat,Rat,Medium-sized rodent with long tail,Rattus;Brown Rat;Norway Rat,Rodent|http://example.org/animal-ontology-A/Rodent,"genus: Rattus, size: medium",,,Rat. Medium-sized rodent with long tail
Squirrel,http://example.org/animal-ontology-A/Squirrel,Squirrel,Arboreal rodent with bushy tail,Sciurus;Tree Squirrel;Ground Squirrel,Rodent|http://example.org/animal-ontology-A/Rodent,"family: Sciuridae, habitat: trees",,,Squirrel. Arboreal rodent with bushy tail
Cetacean,http://example.org/animal-ontology-A/Cetacean,Cetacean,"Aquatic mammal including whales, dolphins, and porpoises",Cetacea;Marine Mammal;Whale,Mammal|http://example.org/animal-ontology-A/Mammal,"order: Cetacea, habitat: marine",Dolphin|http://example.org/animal-ontology-A/Dolphin;Whale|http://example.org/animal-ontology-A/Whale,,"Cetacean. Aquatic mammal including whales, dolphins, and porpoises"
Dolphin,http://example.org/animal-ontology-A/Dolphin,Dolphin,Highly intelligent marine mammal with streamlined body,Delphinidae;Bottlenose Dolphin;Porpoise,Cetacean|http://example.org/animal-ontology-A/Cetacean,"family: Delphinidae, intelligence: high, echolocation: yes",,Flipper (Bottlenose dolphin in marine park),Dolphin. Highly intelligent marine mammal with streamlined body
Whale,http://example.org/animal-ontology-A/Whale,Whale,Large marine mammal with streamlined body,Balaenopteridae;Blue Whale;Humpback Whale,Cetacean|http://example.org/animal-ontology-A/Cetacean,"size: very_large, habitat: ocean",,,Whale. Large marine mammal with streamlined body
Bird,http://example.org/animal-ontology-A/Bird,Bird,"Warm-blooded vertebrate with feathers, wings, and beak",Aves;Avian;Feathered Animal,Animal|http://example.org/animal-ontology-A/Animal,"class: Aves, body_covering: feathers, reproduction: oviparous",Raptor|http://example.org/animal-ontology-A/RaptorBird;Waterfowl|http://example.org/animal-ontology-A/Waterfowl;Penguin|http://example.org/animal-ontology-A/Penguin;Parrot|http://example.org/animal-ontology-A/Parrot,,"Bird. Warm-blooded vertebrate with feathers, wings, and beak"
RaptorBird,http://example.org/animal-ontology-A/RaptorBird,Raptor,Bird of prey with strong talons and keen eyesight,Bird of Prey;Predatory Bird;Raptor,Bird|http://example.org/animal-ontology-A/Bird,"diet: carnivorous, vision: excellent",Eagle|http://example.org/animal-ontology-A/Eagle;Hawk|http://example.org/animal-ontology-A/Hawk;Owl|http://example.org/animal-ontology-A/Owl,,Raptor. Bird of prey with strong talons and keen eyesight
Eagle,http://example.org/animal-ontology-A/Eagle,Eagle,Large bird of prey with powerful build and heavy beak,Aquila;Bald Eagle;Golden Eagle,Raptor|http://example.org/animal-ontology-A/RaptorBird,"genus: Aquila, wingspan: large, habitat: mountains",,Skye (Bald eagle in Alaska),Eagle. Large bird of prey with powerful build and heavy beak
Hawk,http://example.org/animal-ontology-A/Hawk,Hawk,Medium-sized bird of prey with broad wings,Accipiter;Red-tailed Hawk;Cooper's Hawk,Raptor|http://example.org/animal-ontology-A/RaptorBird,"family: Accipitridae, size: medium",,,Hawk. Medium-sized bird of prey with broad wings
Owl,http://example.org/animal-ontology-A/Owl,Owl,Nocturnal bird of prey with forward-facing eyes,Strigiformes;Barn Owl;Screech Owl,Raptor|http://example.org/animal-ontology-A/RaptorBird,"order: Strigiformes, activity: nocturnal, hearing: excellent",,,Owl. Nocturnal bird of prey with forward-facing eyes
Waterfowl,http://example.org/animal-ontology-A/Waterfowl,Waterfowl,Bird that lives on or near water,Aquatic Bird;Water Bird;Anseriformes,Bird|http://example.org/animal-ontology-A/Bird,habitat: aquatic,Duck|http://example.org/animal-ontology-A/Duck;Swan|http://example.org/animal-ontology-A/Swan;Goose|http://example.org/animal-ontology-A/Goose,,Waterfowl. Bird that lives on or near water
Duck,http://example.org/animal-ontology-A/Duck,Duck,Waterfowl with webbed feet and broad flat beak,Anas;Mallard;Domestic Duck,Waterfowl|http://example.org/animal-ontology-A/Waterfowl,"family: Anatidae, feet: webbed",,,Duck. Waterfowl with webbed feet and broad flat beak
Swan,http://example.org/animal-ontology-A/Swan,Swan,Large waterfowl with long neck and elegant appearance,Cygnus;Mute Swan;Black Swan,Waterfowl|http://example.org/animal-ontology-A/Waterfowl,"genus: Cygnus, size: large, neck: long",,,Swan. Large waterfowl with long neck and elegant appearance
Goose,http://example.org/animal-ontology-A/Goose,Goose,"Large waterfowl with long neck, intermediate between duck and swan",Anser;Canada Goose;Greylag Goose,Waterfowl|http://example.org/animal-ontology-A/Waterfowl,"genus: Anser, size: large",,,"Goose. Large waterfowl with long neck, intermediate between duck and swan"
Penguin,http://example.org/animal-ontology-A/Penguin,Penguin,Flightless aquatic bird native to Southern Hemisphere,Spheniscidae;Emperor Penguin;King Penguin,Bird|http://example.org/animal-ontology-A/Bird,"family: Spheniscidae, flight: flightless, habitat: antarctic",,,Penguin. Flightless aquatic bird native to Southern Hemisphere
Parrot,http://example.org/animal-ontology-A/Parrot,Parrot,Colorful bird with curved beak and ability to mimic sounds,Psittaciformes;Macaw;Cockatoo,Bird|http://example.org/animal-ontology-A/Bird,"order: Psittaciformes, intelligence: high, vocalization: mimicry",,,Parrot. Colorful bird with curved beak and ability to mimic sounds
Reptile,http://example.org/animal-ontology-A/Reptile,Reptile,Cold-blooded vertebrate with scales or scutes,Reptilia;Reptilian,Animal|http://example.org/animal-ontology-A/Animal,"class: Reptilia, body_temperature: cold-blooded, body_covering: scales",Snake|http://example.org/animal-ontology-A/Snake;Lizard|http://example.org/animal-ontology-A/Lizard;Turtle|http://example.org/animal-ontology-A/Turtle;Crocodile|http://example.org/animal-ontology-A/Crocodile,,Reptile. Cold-blooded vertebrate with scales or scutes
Snake,http://example.org/animal-ontology-A/Snake,Snake,Legless reptile with elongated body,Serpentes;Serpent;Ophidian,Reptile|http://example.org/animal-ontology-A/Reptile,"order: Serpentes, limbs: absent, locomotion: serpentine",Python|http://example.org/animal-ontology-A/Python;Cobra|http://example.org/animal-ontology-A/Cobra,,Snake. Legless reptile with elongated body
Python,http://example.org/animal-ontology-A/Python,Python,"Large constricting snake found in Africa, Asia, and Australia",Pythonidae;Ball Python;Reticulated Python,Snake|http://example.org/animal-ontology-A/Snake,"family: Pythonidae, hunting_method: constriction",,,"Python. Large constricting snake found in Africa, Asia, and Australia"
Cobra,http://example.org/animal-ontology-A/Cobra,Cobra,Venomous snake with ability to expand neck ribs into hood,Naja;King Cobra;Hooded Snake,Snake|http://example.org/animal-ontology-A/Snake,"genus: Naja, venom: yes, defensive_display: hood",,,Cobra. Venomous snake with ability to expand neck ribs into hood
Lizard,http://example.org/animal-ontology-A/Lizard,Lizard,"Reptile with four legs, external ear openings, and movable eyelids",Lacertilia;Saurian,Reptile|http://example.org/animal-ontology-A/Reptile,"suborder: Lacertilia, limbs: four",Iguana|http://example.org/animal-ontology-A/Iguana;Chameleon|http://example.org/animal-ontology-A/Chameleon,,"Lizard. Reptile with four legs, external ear openings, and movable eyelids"
Iguana,http://example.org/animal-ontology-A/Iguana,Iguana,Large herbivorous lizard native to tropical areas,Iguanidae;Green Iguana;Rock Iguana,Lizard|http://example.org/animal-ontology-A/Lizard,"family: Iguanidae, diet: herbivorous, habitat: tropical",,,Iguana. Large herbivorous lizard native to tropical areas
Chameleon,http://example.org/animal-ontology-A/Chameleon,Chameleon,Lizard with ability to change color and independently moving eyes,Chamaeleonidae;Color-changing Lizard,Lizard|http://example.org/animal-ontology-A/Lizard,"family: Chamaeleonidae, color_change: yes, eyes: independently_mobile",,,Chameleon. Lizard with ability to change color and independently moving eyes
Turtle,http://example.org/animal-ontology-A/Turtle,Turtle,Reptile with body enclosed in bony shell,Testudines;Tortoise;Terrapin,Reptile|http://example.org/animal-ontology-A/Reptile,"order: Testudines, shell: present",Sea Turtle|http://example.org/animal-ontology-A/SeaTurtle,,Turtle. Reptile with body enclosed in bony shell
SeaTurtle,http://example.org/animal-ontology-A/SeaTurtle,Sea Turtle,Marine turtle with flippers adapted for swimming,Chelonioidea;Green Turtle;Loggerhead,Turtle|http://example.org/animal-ontology-A/Turtle,"superfamily: Chelonioidea, habitat: marine, limbs: flippers",,,Sea Turtle. Marine turtle with flippers adapted for swimming
Crocodile,http://example.org/animal-ontology-A/Crocodile,Crocodile,Large aquatic reptile with powerful jaws and armored skin,Crocodylus;Nile Crocodile;Saltwater Crocodile,Reptile|http://example.org/animal-ontology-A/Reptile,"genus: Crocodylus, habitat: aquatic, size: large",,,Crocodile. Large aquatic reptile with powerful jaws and armored skin
Fish,http://example.org/animal-ontology-A/Fish,Fish,Aquatic vertebrate with gills and fins,Pisces;Aquatic Vertebrate,Animal|http://example.org/animal-ontology-A/Animal,"habitat: aquatic, respiration: gills, locomotion: fins",Shark|http://example.org/animal-ontology-A/Shark;Ray|http://example.org/animal-ontology-A/Ray;Salmon|http://example.org/animal-ontology-A/Salmon;Tuna|http://example.org/animal-ontology-A/Tuna,,Fish. Aquatic vertebrate with gills and fins
Shark,http://example.org/animal-ontology-A/Shark,Shark,Cartilaginous fish with multiple gill slits,Selachimorpha;Predatory Fish;Great White,Fish|http://example.org/animal-ontology-A/Fish,"superorder: Selachimorpha, skeleton: cartilaginous, teeth: multiple_rows",,,Shark. Cartilaginous fish with multiple gill slits
Ray,http://example.org/animal-ontology-A/Ray,Ray,Cartilaginous fish with flattened body,Rajiformes;Stingray;Manta Ray,Fish|http://example.org/animal-ontology-A/Fish,"order: Rajiformes, body_shape: flattened",,,Ray. Cartilaginous fish with flattened body
Salmon,http://example.org/animal-ontology-A/Salmon,Salmon,Migratory fish that spawns in freshwater,Salmo;Atlantic Salmon;Pacific Salmon,Fish|http://example.org/animal-ontology-A/Fish,"genus: Salmo, migration: anadromous, habitat: freshwater_marine",,,Salmon. Migratory fish that spawns in freshwater
Tuna,http://example.org/animal-ontology-A/Tuna,Tuna,Large fast-swimming marine fish,Thunnus;Bluefin Tuna;Yellowfin Tuna,Fish|http://example.org/animal-ontology-A/Fish,"genus: Thunnus, speed: fast, habitat: pelagic",,,Tuna. Large fast-swimming marine fish
Amphibian,http://example.org/animal-ontology-A/Amphibian,Amphibian,Cold-blooded vertebrate with aquatic larvae and terrestrial adult,Amphibia;Amphibious Animal,Animal|http://example.org/animal-ontology-A/Animal,"class: Amphibia, lifecycle: metamorphosis, skin: permeable",Frog|http://example.org/animal-ontology-A/Frog;Salamander|http://example.org/animal-ontology-A/Salamander,,Amphibian. Cold-blooded vertebrate with aquatic larvae and terrestrial adult
Frog,http://example.org/animal-ontology-A/Frog,Frog,Tailless amphibian with long hind legs for jumping,Anura;Toad;Tree Frog,Amphibian|http://example.org/animal-ontology-A/Amphibian,"order: Anura, tail: absent, locomotion: jumping",,,Frog. Tailless amphibian with long hind legs for jumping
Salamander,http://example.org/animal-ontology-A/Salamander,Salamander,Amphibian with elongated body and tail,Caudata;Newt;Fire Salamander,Amphibian|http://example.org/animal-ontology-A/Amphibian,"order: Caudata, tail: present, body: elongated",,,Salamander. Amphibian with elongated body and tail
Invertebrate,http://example.org/animal-ontology-A/Invertebrate,Invertebrate,Animal without backbone or vertebral column,Non-vertebrate;Spineless Animal,Animal|http://example.org/animal-ontology-A/Animal,vertebral_column: absent,Insect|http://example.org/animal-ontology-A/Insect;Arachnid|http://example.org/animal-ontology-A/Arachnid;Mollusk|http://example.org/animal-ontology-A/Mollusk,,Invertebrate. Animal without backbone or vertebral column
Insect,http://example.org/animal-ontology-A/Insect,Insect,Arthropod with three body segments and six legs,Insecta;Hexapod;Bug,Invertebrate|http://example.org/animal-ontology-A/Invertebrate,"class: Insecta, body_segments: three, legs: six",Butterfly|http://example.org/animal-ontology-A/Butterfly;Bee|http://example.org/animal-ontology-A/Bee;Ant|http://example.org/animal-ontology-A/Ant;Beetle|http://example.org/animal-ontology-A/Beetle,,Insect. Arthropod with three body segments and six legs
Butterfly,http://example.org/animal-ontology-A/Butterfly,Butterfly,Insect with large colorful wings and slender body,Lepidoptera;Papillon;Flying Insect,Insect|http://example.org/animal-ontology-A/Insect,"order: Lepidoptera, wings: scaled, lifecycle: complete_metamorphosis",,,Butterfly. Insect with large colorful wings and slender body
Bee,http://example.org/animal-ontology-A/Bee,Bee,Flying insect known for pollination and honey production,Apis;Honeybee;Bumblebee,Insect|http://example.org/animal-ontology-A/Insect,"genus: Apis, social: colonial, role: pollinator",,,Bee. Flying insect known for pollination and honey production
Ant,http://example.org/animal-ontology-A/Ant,Ant,Social insect living in organized colonies,Formicidae;Worker Ant;Fire Ant,Insect|http://example.org/animal-ontology-A/Insect,"family: Formicidae, social: eusocial, colony: organized",,,Ant. Social insect living in organized colonies
Beetle,http://example.org/animal-ontology-A/Beetle,Beetle,Insect with hardened front wings forming protective cover,Coleoptera;Ladybug;Scarab,Insect|http://example.org/animal-ontology-A/Insect,"order: Coleoptera, wings: hardened_front",,,Beetle. Insect with hardened front wings forming protective cover
Arachnid,http://example.org/animal-ontology-A/Arachnid,Arachnid,Arthropod with eight legs including spiders and scorpions,Arachnida;Eight-legged Arthropod,Invertebrate|http://example.org/animal-ontology-A/Invertebrate,"class: Arachnida, legs: eight",Spider|http://example.org/animal-ontology-A/Spider;Scorpion|http://example.org/animal-ontology-A/Scorpion,,Arachnid. Arthropod with eight legs including spiders and scorpions
Spider,http://example.org/animal-ontology-A/Spider,Spider,Arachnid that spins webs to catch prey,Araneae;Web-spinner;Tarantula,Arachnid|http://example.org/animal-ontology-A/Arachnid,"order: Araneae, web: silk, venom: yes",,,Spider. Arachnid that spins webs to catch prey
Scorpion,http://example.org/animal-ontology-A/Scorpion,Scorpion,Arachnid with pincers and venomous stinger in tail,Scorpiones;Stinger;Desert Scorpion,Arachnid|http://example.org/animal-ontology-A/Arachnid,"order: Scorpiones, tail: venomous_stinger, pincers: present",,,Scorpion. Arachnid with pincers and venomous stinger in tail
Mollusk,http://example.org/animal-ontology-A/Mollusk,Mollusk,Soft-bodied invertebrate often with shell,Mollusca;Shellfish,Invertebrate|http://example.org/animal-ontology-A/Invertebrate,"phylum: Mollusca, body: soft",Octopus|http://example.org/animal-ontology-A/Octopus;Squid|http://example.org/animal-ontology-A/Squid;Snail|http://example.org/animal-ontology-A/Snail,,Mollusk. Soft-bodied invertebrate often with shell
Octopus,http://example.org/animal-ontology-A/Octopus,Octopus,Eight-armed marine mollusk with high intelligence,Octopoda;Eight-armed Cephalopod;Devilfish,Mollusk|http://example.org/animal-ontology-A/Mollusk,"order: Octopoda, arms: eight, intelligence: high",,,Octopus. Eight-armed marine mollusk with high intelligence
Squid,http://example.org/animal-ontology-A/Squid,Squid,Marine cephalopod with ten arms and torpedo-shaped body,Teuthida;Calamari;Giant Squid,Mollusk|http://example.org/animal-ontology-A/Mollusk,"order: Teuthida, arms: ten, body_shape: torpedo",,,Squid. Marine cephalopod with ten arms and torpedo-shaped body
Snail,http://example.org/animal-ontology-A/Snail,Snail,Gastropod mollusk with coiled shell,Gastropoda;Garden Snail;Land Snail,Mollusk|http://example.org/animal-ontology-A/Mollusk,"class: Gastropoda, shell: coiled, locomotion: muscular_foot",,,Snail. Gastropod mollusk with coiled shell
